Employee_Number,Position,Dept,Dept_Description,Proj_Division,BU,Annual_Leave_Entitlement,Leave_Code,Leave_Type,Leave_Type_Description,From,To,Days,Total_No_of_Leave_Days,Remarks,BU_Entry_Date,Employee_Type
0038298,Sr Project Manager,90088,Building Management,BDG,13828,AL24,AL-MP,AL,Annual Leave,2021-12-30T00:00:00Z,2021-12-30T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-08-28T00:00:00Z,2021-08-28T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-15T00:00:00Z,2021-09-15T00:00:00Z,0.5,NULL,AM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-16T00:00:00Z,2021-09-16T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-19T00:00:00Z,2021-09-19T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-22T00:00:00Z,2021-09-22T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-09-29T00:00:00Z,2021-09-29T00:00:00Z,0.5,NULL,AM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-10-08T00:00:00Z,2021-10-08T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,0.5,NULL,PM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,AL-MP,AL,Annual Leave,2021-12-22T00:00:00Z,2021-12-22T00:00:00Z,0.5,NULL,AM,42767,Monthly Paid
0038299,Sr Constn Manager,90088,Building Management,BDG,13568,AL24,SL1-MP,SL,Sick Leave,2021-08-14T00:00:00Z,2021-08-14T00:00:00Z,0.5,1.5,PM,42767,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-07-20T00:00:00Z,2021-07-20T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-07-23T00:00:00Z,2021-07-23T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-08-27T00:00:00Z,2021-08-27T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-10-24T00:00:00Z,2021-10-24T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038310,Sr Site Agent,90088,Building Management,BDG,13828,AL21,AL-MP,AL,Annual Leave,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,0.5,NULL,PM,42461,Monthly Paid
0038309,Site Agent,90088,Building Management,BDG,13836,AL18,SL1-MP,SL,Sick Leave,2021-09-30T00:00:00Z,2021-09-30T00:00:00Z,0.5,NULL,PM,42795,Monthly Paid
0037943,Sub-Agent,90088,Building Management,BDG,13777,AL18,AL-MP,AL,Annual Leave,2021-08-14T00:00:00Z,2021-08-14T00:00:00Z,0.5,NULL,PM,43344,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-12-21T00:00:00Z,2021-12-21T00:00:00Z,0.5,NULL,AM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-12-21T00:00:00Z,2021-12-21T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,AM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,0.5,NULL,AM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-11-22T00:00:00Z,2021-11-22T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-11-29T00:00:00Z,2021-11-29T00:00:00Z,0.5,NULL,AM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-11-29T00:00:00Z,2021-11-29T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,AL-MP,AL,Annual Leave,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232502,Asst Site Administrator,90088,Building Management,BDG,13828,AL12,SL1-MP,SL,Sick Leave,2021-12-02T00:00:00Z,2021-12-02T00:00:00Z,0.5,NULL,PM,42887,Monthly Paid
0232505,Setting Out Foreman,90088,Building Management,BDG,13699,AL12,NPL-MP,NAL,No Paid Annual Leave,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,0.5,NULL,PM,43040,Monthly Paid
0232505,Setting Out Foreman,90088,Building Management,BDG,13699,AL12,AL-MP,AL,Annual Leave,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,0.5,NULL,PM,43040,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-08-09T00:00:00Z,2021-08-09T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-08-23T00:00:00Z,2021-08-23T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-09-13T00:00:00Z,2021-09-13T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-10-25T00:00:00Z,2021-10-25T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-11-08T00:00:00Z,2021-11-08T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-11-22T00:00:00Z,2021-11-22T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-11-28T00:00:00Z,2021-11-28T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-12-02T00:00:00Z,2021-12-02T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-12-12T00:00:00Z,2021-12-12T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-12-18T00:00:00Z,2021-12-18T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-12-26T00:00:00Z,2021-12-26T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0034369,Sr Plant Manager,98842,Plant & Equipment,PLT,98801,AL24,SL1-MP,SL,Sick Leave,2021-08-26T00:00:00Z,2021-08-26T00:00:00Z,0.5,NULL,AM,39982,Monthly Paid
0034437,Senior Environmental Manager,90081,Environment & Sustainability,ENV,90081,AL24,AL-MP,AL,Annual Leave,2021-08-21T00:00:00Z,2021-08-21T00:00:00Z,0.5,NULL,AM,39873,Monthly Paid
0034437,Senior Environmental Manager,90081,Environment & Sustainability,ENV,90081,AL24,AL-MP,AL,Annual Leave,2021-09-22T00:00:00Z,2021-09-22T00:00:00Z,0.5,NULL,AM,39873,Monthly Paid
0232702,Asst Commercial Manager,90056,Commercial Q.S. (Group),CVL,13883,AL24,AL-MP,AL,Annual Leave,2021-09-27T00:00:00Z,2021-09-27T00:00:00Z,0.5,NULL,AM,43405,Monthly Paid
0389528,Asst Project Manager,90086,Civil Management,CVL,15232,AL21,SL1-MP,SL,Sick Leave,2021-07-20T00:00:00Z,2021-07-20T00:00:00Z,0.5,NULL,AM,41562,Monthly Paid
0474041,Project Manager,93591,Interior,INT,93591,AL24,AL-MP,AL,Annual Leave,2021-09-29T00:00:00Z,2021-09-29T00:00:00Z,0.5,NULL,PM,43346,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,AL-MP,AL,Annual Leave,2021-08-11T00:00:00Z,2021-08-11T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,AL-MP,AL,Annual Leave,2021-09-24T00:00:00Z,2021-09-24T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,AL-MP,AL,Annual Leave,2021-10-09T00:00:00Z,2021-10-09T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,SL1-MP,SL,Sick Leave,2021-12-14T00:00:00Z,2021-12-14T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,AL-MP,AL,Annual Leave,2021-08-25T00:00:00Z,2021-08-25T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0414717,Site Agent,90088,Building Management,BDG,13708,AL18,AL-MP,AL,Annual Leave,2021-09-01T00:00:00Z,2021-09-01T00:00:00Z,0.5,NULL,PM,43327,Monthly Paid
0234349,Chief Surveyor,90086,Civil Management,BDG,13788,AL18,AL-MP,AL,Annual Leave,2021-08-23T00:00:00Z,2021-08-23T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0234349,Chief Surveyor,90086,Civil Management,BDG,13788,AL18,AL-MP,AL,Annual Leave,2021-09-06T00:00:00Z,2021-09-06T00:00:00Z,0.5,NULL,PM,43405,Monthly Paid
0037099,Asst Plant Supervisor,90029,Concrete Technology Services,CON,90029,AL12,AL-MP,AL,Annual Leave,2021-08-26T00:00:00Z,2021-08-26T00:00:00Z,0.5,NULL,PM,40634,Monthly Paid
0037099,Asst Plant Supervisor,90029,Concrete Technology Services,CON,90029,AL12,AL-MP,AL,Annual Leave,2021-08-29T00:00:00Z,2021-08-29T00:00:00Z,0.5,NULL,PM,40634,Monthly Paid
0037099,Asst Plant Supervisor,90029,Concrete Technology Services,CON,90029,AL12,SL1-MP,SL,Sick Leave,2021-11-11T00:00:00Z,2021-11-11T00:00:00Z,0.5,NULL,PM,40634,Monthly Paid
0037114,Sr General Foreman,90088,Building Management,BDG,13699,AL18,AL-MP,AL,Annual Leave,2021-08-15T00:00:00Z,2021-08-15T00:00:00Z,0.5,NULL,PM,43080,Monthly Paid
0037114,Sr General Foreman,90088,Building Management,BDG,13699,AL18,AL-MP,AL,Annual Leave,2021-10-28T00:00:00Z,2021-10-28T00:00:00Z,0.5,NULL,PM,43080,Monthly Paid
0037114,Sr General Foreman,90088,Building Management,BDG,13699,AL18,AL-MP,AL,Annual Leave,2021-11-25T00:00:00Z,2021-11-25T00:00:00Z,0.5,NULL,PM,43080,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,0.5,NULL,AM,41806,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-07-29T00:00:00Z,2021-07-29T00:00:00Z,0.5,NULL,AM,41806,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,0.5,NULL,AM,41806,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-08-08T00:00:00Z,2021-08-08T00:00:00Z,0.5,NULL,AM,41806,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-08-21T00:00:00Z,2021-08-21T00:00:00Z,0.5,NULL,PM,41806,Monthly Paid
0037155,Asst Elect Foreman,90086,Civil Management,CVL,13718,AL14,AL-MP,AL,Annual Leave,2021-09-18T00:00:00Z,2021-09-18T00:00:00Z,0.5,NULL,PM,41806,Monthly Paid
0037182,Sr Mechanical Supervisor,98842,Plant & Equipment,PLT,98842,AL18,AL-MP,AL,Annual Leave,2021-08-04T00:00:00Z,2021-08-04T00:00:00Z,0.5,NULL,PM,43202,Monthly Paid
0037182,Sr Mechanical Supervisor,98842,Plant & Equipment,PLT,98842,AL18,AL-MP,AL,Annual Leave,2021-08-13T00:00:00Z,2021-08-13T00:00:00Z,0.5,NULL,PM,43202,Monthly Paid
0037182,Sr Mechanical Supervisor,98842,Plant & Equipment,PLT,98842,AL18,AL-MP,AL,Annual Leave,2021-09-02T00:00:00Z,2021-09-02T00:00:00Z,0.5,NULL,PM,43202,Monthly Paid
0037188,Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-08-29T00:00:00Z,2021-08-29T00:00:00Z,0.5,NULL,PM,43234,Monthly Paid
0037188,Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-07-20T00:00:00Z,2021-07-20T00:00:00Z,0.5,NULL,PM,43234,Monthly Paid
0037188,Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-07-27T00:00:00Z,2021-07-27T00:00:00Z,0.5,NULL,PM,43234,Monthly Paid
0037188,Surveyor,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,PM,43234,Monthly Paid
0037192,Asst Surveyor,90086,Civil Management,CVL,13703,AL12,AL-MP,AL,Annual Leave,2021-11-19T00:00:00Z,2021-11-19T00:00:00Z,0.5,NULL,PM,43206,Monthly Paid
0037805,Wirth Operator,98842,Plant & Equipment,PLT,98842,AL12,AL-MP,AL,Annual Leave,2021-12-22T00:00:00Z,2021-12-22T00:00:00Z,0.5,NULL,PM,39108,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-07-24T00:00:00Z,2021-07-24T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-07-25T00:00:00Z,2021-07-25T00:00:00Z,0.5,NULL,AM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-08-26T00:00:00Z,2021-08-26T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-08-26T00:00:00Z,2021-08-26T00:00:00Z,0.5,NULL,AM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,0.5,NULL,AM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-09-23T00:00:00Z,2021-09-23T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,AM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-10-17T00:00:00Z,2021-10-17T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-10-29T00:00:00Z,2021-10-29T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-10-31T00:00:00Z,2021-10-31T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-11-03T00:00:00Z,2021-11-03T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-08-02T00:00:00Z,2021-08-02T00:00:00Z,0.5,NULL,AM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-08-04T00:00:00Z,2021-08-04T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-12-15T00:00:00Z,2021-12-15T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037807,Production Manager,90088,Building Management,BDG,13618,AL24,AL-MP,AL,Annual Leave,2021-12-25T00:00:00Z,2021-12-25T00:00:00Z,0.5,NULL,PM,42430,Monthly Paid
0037808,Senior Drafting Supervisor,90010,Lambeth - Drafting,DSN,90010,AL18,AL-MP,AL,Annual Leave,2021-11-30T00:00:00Z,2021-11-30T00:00:00Z,0.5,NULL,AM,41395,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-08-15T00:00:00Z,2021-08-15T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-08-22T00:00:00Z,2021-08-22T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-08-29T00:00:00Z,2021-08-29T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-09-12T00:00:00Z,2021-09-12T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059832,Project Manager,90088,Building Management,BDG,13757,AL24,AL-MP,AL,Annual Leave,2021-10-24T00:00:00Z,2021-10-24T00:00:00Z,0.5,NULL,PM,43467,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-07-03T00:00:00Z,2021-07-03T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-10-08T00:00:00Z,2021-10-08T00:00:00Z,0.5,NULL,PM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-10-09T00:00:00Z,2021-10-09T00:00:00Z,0.5,NULL,PM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-10-28T00:00:00Z,2021-10-28T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-11-03T00:00:00Z,2021-11-03T00:00:00Z,0.5,NULL,PM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-11-06T00:00:00Z,2021-11-06T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-12-21T00:00:00Z,2021-12-21T00:00:00Z,0.5,NULL,PM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-08-16T00:00:00Z,2021-08-16T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-08-19T00:00:00Z,2021-08-19T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-09-27T00:00:00Z,2021-09-27T00:00:00Z,0.5,NULL,AM,43313,Monthly Paid
0059873,Asst Planning Manager,90088,Building Management,BDG,13708,AL21,AL-MP,AL,Annual Leave,2021-09-29T00:00:00Z,2021-09-29T00:00:00Z,0.5,NULL,PM,43313,Monthly Paid
0059893,Managing Quantity Surveyor,90056,Commercial Q.S. (Group),CVL,13908,AL24,AL-MP,AL,Annual Leave,2021-10-02T00:00:00Z,2021-10-02T00:00:00Z,0.5,NULL,PM,40917,Monthly Paid
0059893,Managing Quantity Surveyor,90056,Commercial Q.S. (Group),CVL,13908,AL24,AL-MP,AL,Annual Leave,2021-10-06T00:00:00Z,2021-10-06T00:00:00Z,0.5,NULL,PM,40917,Monthly Paid
0059893,Managing Quantity Surveyor,90056,Commercial Q.S. (Group),CVL,13908,AL24,AL-MP,AL,Annual Leave,2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,0.5,NULL,PM,40917,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-07-08T00:00:00Z,2021-07-08T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-07-14T00:00:00Z,2021-07-14T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-12-29T00:00:00Z,2021-12-29T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-10-02T00:00:00Z,2021-10-02T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-11-17T00:00:00Z,2021-11-17T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038098,Production Manager,90086,Civil Management,CVL,13718,AL24,AL-MP,AL,Annual Leave,2021-10-02T00:00:00Z,2021-10-02T00:00:00Z,0.5,NULL,AM,43435,Monthly Paid
0038098,Production Manager,90086,Civil Management,CVL,13718,AL24,AL-MP,AL,Annual Leave,2021-11-05T00:00:00Z,2021-11-05T00:00:00Z,0.5,NULL,PM,43435,Monthly Paid
0038097,Sr Site Agent,90088,Building Management,BDG,13568,AL21,AL-MP,AL,Annual Leave,2021-12-09T00:00:00Z,2021-12-09T00:00:00Z,0.5,NULL,PM,42324,Monthly Paid
0038101,Sr Site Admin Officer,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-10-27T00:00:00Z,2021-10-27T00:00:00Z,0.5,NULL,PM,43160,Monthly Paid
0038101,Sr Site Admin Officer,90086,Civil Management,CVL,15230,AL18,AL-MP,AL,Annual Leave,2021-11-03T00:00:00Z,2021-11-03T00:00:00Z,0.5,NULL,PM,43160,Monthly Paid
